Sekolah,Cluster,Produk_Terlaris
MTS Ar Rois Cendekia,3,STEMAGINATION
SD Bina Nusantara (Binus),1,SCRATCH
SD Daqu School,1,SCRATCH & ROBOTIC
SD Harapan Bunda,1,SCRATCH
SD Islam Pangeran Diponegoro,1,SCRATCH
SD Muhammadiyah Pucang Gading,1,SCRATCH
SD Nasima,1,SCRATCH
SD Pangudi Luhur Bernardus,1,ROBOTIC
SDIT Miftahul Mranggen,1,STEMAGINATION
SMK Dharma Bahari Surabaya,1,SHORT COURSE ROBOTIC & IOT
SMK Negeri 3 Kendal,1,KIDI
SMK Negeri 5 Kendal,1,KIDI
SMK Negeri 7 Semarang,1,KIDI
SMK Negeri 8 Semarang,1,KIDI
SMK PGRI Sukorejo,1,KIDI
SMK Tunas Harapan Pati,1,SERTIFIKASI UJIKOM
SMP Kartiyoso,1,SCRATCH
SMP Nasima Scratch,1,SCRATCH
SMP Nasima Website,2,HTML
SMP Negeri 05 Semarang,1,SCRATCH & ROBOTIC
TK Al Azhar BSB,1,STEMAGINATION
