Sekolah,Cluster,Produk_Terlaris
MTS Ar Rois Cendekia,2,STEMAGINATION
SD Bina Nusantara (Binus),1,SCRATCH
SD Daqu School,1,Ekskul
SD Harapan Bunda,1,Ekskul
SD Hj Isriyati 02,1,Ekskul
SD Islam Pangeran Diponegoro,1,SCRATCH
SD Muhammadiyah Pucang Gading,1,SCRATCH
SD Nasima,1,Ekskul
SD Pangudi Luhur Bernardus,1,ROBOTIC
SDIT Al Mawaddah,1,Ekskul
SDIT Miftahul Mranggen,1,STEMAGINATION
SMK Dharma Bahari Surabaya,1,SHORT COURSE ROBOTIC & IOT
SMK Islam Al Fadillah Demak,1,Short Course
SMK Muhammadiyah Susukan,1,Short Course
SMK Negeri 3 Kendal,1,KIDI
SMK Negeri 5 Kendal,1,KIDI
SMK Negeri 7 Semarang,1,KIDI
SMK Negeri 8 Semarang,1,KIDI
SMK PGRI 01 Sukorejo (Kelas XI),1,KIDI
SMK PGRI 01 Sukorejo (Kelas XII),1,KIDI
SMK PGRI Sukorejo,1,KIDI
SMK Tunas Harapan Pati,3,Sertikom
SMKN 05 Kendal,1,Ekskul
SMP Harapan Bunda,1,Ekskul
SMP Kartiyoso,1,SCRATCH
SMP Nasima,1,Ekskul
SMP Nasima Scratch,1,SCRATCH
SMP Nasima Website,1,HTML
SMP Negeri 05 Semarang,1,Ekskul
SMP Theresiana,1,Intra
SMPN 03 Semarang,1,Ekskul
SMPN 07 Semarang,1,Ekskul
SMPN 15 Semarang,1,Ekskul
SMPN 21 Semarang,1,Ekskul
SMPN 39 Semarang,1,Short Course
TK Al Azhar BSB,1,STEMAGINATION
